pocket,n_total,n_valid,qed_mean,qed_std,sa_mean,tanimoto_diversity,centroid_variance,mean_pairwise_centroid_distance,clashes_per_mol,bond_anomaly_rate,broken_rings_per_mol,distance_to_pocket_center,mol_mw,mol_logp,mol_hba,mol_hbd,mol_rotb
3pnm_A_rec,10,10,0.4415113538475367,0.12853835299650637,4.060446696996584,0.9261725982748106,1.7064025927899753,2.5065638271946793,405.0,0.11834319526627218,0.0,2.2449240975323757,229.36620000000002,0.060570000000000415,4.3,2.8,2.9
3tym_A_rec,10,10,0.5580814170582876,0.14705564011344374,3.7623751861855808,0.9191884194211997,0.03885114361790706,0.4475780207049969,0.0,0.020689655172413793,0.1,1.984381690538425,382.46340000000015,1.791395000000002,5.9,2.4,6.0
3u5y_B_rec,10,10,0.5910875491772509,0.22371930894990835,4.929753521631261,0.9004495287671389,0.0373155464234391,0.4544763739551695,20.0,0.01098901098901099,0.0,2.1458597544450213,357.2334000000001,0.934300000000003,5.6,3.5,3.6
3u9f_C_rec,10,10,0.7237263224195942,0.11513487010206483,3.461430471403216,0.92597485662289,0.03251882672624968,0.38387106552641925,75.0,0.017467248908296942,0.0,0.44212459823542166,297.5221,3.164588000000001,3.3,1.4,2.2
3v4t_A_rec,10,10,0.3111898362857172,0.18274272938958241,5.145451596711214,0.8909051319436184,0.03659579840992824,0.44788859222559435,40.0,0.043478260869565216,0.0,1.4050326345651054,358.8281000000001,-2.0685379999999984,8.0,5.9,5.7
3w83_B_rec,10,10,0.4310868779806894,0.1609484358922603,4.438236450285922,0.9133755115557243,0.29932840130524313,1.1348325106974408,30.0,0.05789473684210526,0.3,2.5134362750896457,270.1095000000001,-0.7152319999999992,5.5,4.1,2.9
4aaw_A_rec,10,10,0.6121244742092098,0.11876515108312667,3.134097839536454,0.9396746151218006,0.1279757599363238,0.859192592423761,40.0,0.02112676056338028,0.0,4.547669888385067,188.757,1.5069660000000002,2.7,1.1,1.7
4aua_A_rec,10,10,0.7801104779271394,0.06069142644259209,2.370284000577185,0.895320499758787,0.06146155440227597,0.5733442134103506,45.0,0.0,0.0,3.8056111805383446,256.8828,2.6169320000000007,3.4,1.3,2.7
4azf_A_rec,10,10,0.5923282547825105,0.14023185382377118,4.01045392526549,0.9071126976181327,0.07809208192432666,0.6317414112113899,15.0,0.015037593984962405,0.0,1.8751789335277174,344.4416000000001,1.9282130000000008,5.5,2.5,2.5
4bel_A_rec,10,10,0.30616671609001406,0.11692951766813743,4.607369134301776,0.8859011079614093,0.02096328839929956,0.34533291965432394,10.0,0.01639344262295082,0.0,2.484259445064162,502.3344000000003,2.210332000000002,6.1,4.2,11.2
4d7o_A_rec,10,10,0.6036981881143098,0.17647108463354677,3.4378083564829716,0.9124934684102177,0.024512590645000238,0.37728553994246194,0.0,0.025089605734767026,0.0,2.125052319953354,367.33310000000006,2.068479000000001,5.5,2.5,5.5
4f1m_A_rec,10,10,0.33762066182662737,0.11335924055237508,4.536613290004846,0.8224759133688153,0.056643983987152015,0.570981096448802,15.0,0.036290322580645164,0.2,3.119286764172169,396.7954000000001,0.09554799999999997,8.9,4.9,8.2
4g3d_B_rec,10,10,0.5817190265723765,0.15583291546343525,3.534918646711513,0.9144596812474031,0.06072281007673583,0.5851821155297432,480.0,0.007246376811594203,0.0,1.4724716961727968,344.29980000000006,2.201054000000001,5.3,2.2,3.1
4gvd_A_rec,10,10,0.5202675705617806,0.159257004633523,3.2265691184080887,0.9405492000607474,0.16576016696917859,0.9500233926251143,5.0,0.012048192771084338,0.0,5.211822618195872,222.3391,1.4846980000000007,3.2,1.9,2.2
4h3c_A_rec,10,10,0.6093449914713909,0.11810589824059074,2.916871678218458,0.9036003660638646,0.6260366371622936,1.6927546174648467,5.0,0.02092050209205021,0.0,1.8654410654163154,307.0064000000001,3.609276000000002,2.9,1.0,2.6
4iiy_A_rec,10,10,0.39830692326131595,0.1567543805414722,4.728625143333027,0.8992175902398881,0.021286770043662678,0.34783964488627905,35.0,0.04229607250755287,0.0,2.357509056385651,436.6972000000002,1.0961810000000007,7.7,3.8,5.6
4iwq_A_rec,10,10,0.7320380422496962,0.18693733973966453,3.7821854711767005,0.9131092705680504,0.7516982076731277,1.8991222605225386,5.0,0.024390243902439025,0.0,2.840278682135062,360.6201,2.257759000000001,5.1,1.6,2.8
4ja8_B_rec,10,10,0.32007887948476244,0.17943783388658477,4.703432815373459,0.9009478552662211,0.02062835225614402,0.34079035210318004,490.0,0.016304347826086956,0.1,0.3992419723298684,483.7885000000002,6.376524000000004,4.0,1.6,8.3
4kcq_A_rec,10,10,0.6120642013456105,0.17906807981493714,3.189661541807477,0.9041053610601454,0.06338218961843432,0.6078772079353707,0.0,0.01702127659574468,0.0,1.8291593947730473,313.3570000000001,2.841450000000001,3.6,1.9,6.1
4keu_A_rec,10,10,0.6723073243362493,0.18505700809333606,2.8042394839308376,0.9249045819810275,0.10601404913023027,0.7767188676335441,90.0,0.02358490566037736,0.0,2.00114169234807,273.78020000000004,3.7760890000000016,2.6,1.2,3.0
4lfu_A_rec,10,10,0.6784367496410585,0.06333124309933272,3.838526798253421,0.9229045365719669,0.4517247556849165,1.2376648461056565,65.0,0.02252252252252252,0.0,1.2858708214179844,265.3821,2.6735850000000014,2.6,0.8,2.0
4m7t_A_rec,10,10,0.6638507478044989,0.16312790157697402,3.817509879248502,0.907885190385554,0.028662910172929823,0.40876095342693675,10.0,0.014760147601476014,0.0,1.1067304326265104,346.9901000000001,1.9935200000000013,5.0,2.1,3.6
4p6p_A_rec,10,10,0.4745352168375869,0.16163636089285902,4.560056451701135,0.9080146217920585,0.34420955352330185,1.2596251924423632,1290.0,0.02,0.0,1.4554947412601318,333.30210000000005,0.6719770000000007,5.6,3.7,4.0
4pxz_A_rec,10,10,0.4885844317220392,0.1538058070216646,3.689828795656369,0.8949478498640856,0.014007580498165787,0.2812401774349543,205.0,0.041935483870967745,0.0,0.760182489865488,438.3401000000002,2.089290000000001,5.7,3.6,6.2
4q8b_B_rec,10,10,0.6725773238940717,0.13079683009586077,3.0383789663169054,0.9152371091395123,0.06760318793369646,0.6002538413641503,20.0,0.04597701149425287,0.0,3.4101120257609425,238.3752,1.5174450000000006,3.9,1.9,2.0
4qlk_A_rec,10,10,0.3223196972001213,0.1484817275175791,4.782910962316448,0.8937955828444994,0.08710510960155066,0.6598467327012459,20.0,0.027227722772277228,0.0,2.208046153161646,542.7404000000002,1.436508000000001,9.0,5.2,8.4
4rlu_A_rec,10,10,0.6314880916572435,0.10515001720111823,3.80809661699481,0.9169428757841697,0.058172923693554146,0.5405419028369202,55.0,0.0,0.0,1.466525351755933,351.9899000000001,2.672380000000001,4.7,2.1,3.7
