pocket,n_total,n_valid,qed_mean,qed_std,sa_mean,tanimoto_diversity,centroid_variance,mean_pairwise_centroid_distance,clashes_per_mol,bond_anomaly_rate,broken_rings_per_mol,distance_to_pocket_center,mol_mw,mol_logp,mol_hba,mol_hbd,mol_rotb
2azy_A_rec,46,46,0.7123746073402504,0.15448254612704573,3.696689223418022,0.8845700990023639,0.0735572249352181,0.6038805710177639,0.0,0.04152823920265781,0.0,0.0,349.0964782608697,3.5788141304347847,3.5217391304347827,1.5434782608695652,3.6739130434782608
2cy0_A_rec,38,38,0.4960759597826547,0.12340653618001576,4.102514053503157,0.873885296313541,42.14404526186044,7.385993268981359,0.0,0.04702627939142462,0.02631578947368421,0.0,241.3411315789474,0.6499742105263162,4.315789473684211,2.8157894736842106,0.8947368421052632
2e24_A_rec,50,50,0.38792360316050106,0.10014916651987345,4.469910619876599,0.8818904636641931,66.59189934135797,4.510602549069113,0.0,0.04668304668304668,0.0,0.0,239.17324,-1.464738199999999,5.44,4.22,2.82
2e6d_A_rec,44,44,0.43453582693050075,0.12213398885463095,4.220573495141454,0.8587070818451408,0.0380172318436196,0.44833810481364217,0.0,0.004366812227074236,0.0,0.0,214.28468181818178,-0.8944181818181817,4.295454545454546,3.272727272727273,2.022727272727273
2f2c_B_rec,44,44,0.6643007343228293,0.1481363411248602,2.7386123420434587,0.8837676761799041,0.07619974232540938,0.5905481048110064,0.0,0.017341040462427744,0.0,0.0,297.7012954545455,3.00637840909091,4.113636363636363,1.6136363636363635,3.1363636363636362
2gns_A_rec,48,48,0.6840026811290884,0.11472263042333318,2.4271394486147586,0.8638087458934739,0.03947684166026401,0.4335039506791139,0.0,0.009424083769633508,0.0,0.0,248.78593750000005,3.0420106250000014,2.375,1.1041666666666667,2.8333333333333335
2hcj_B_rec,37,37,0.29068275399138255,0.08913726647570651,4.286708121973834,0.6421956790159518,0.03689557250324229,0.4431150940387598,0.0,0.08762886597938144,0.0,0.0,390.67845945945953,-1.6034251351351352,9.594594594594595,5.54054054054054,6.027027027027027
2jjg_A_rec,43,43,0.5036131570995606,0.14096068867571468,3.575437712033485,0.8673700449437064,0.039343890110903786,0.4431454607287019,0.0,0.034528552456839307,0.0,0.0,239.97469767441862,0.5729781395348836,5.255813953488372,2.9302325581395348,2.2325581395348837
2pc8_A_rec,38,38,0.5510407419299995,0.1354050212693659,4.585723115081337,0.8843570675267997,11.270847007008419,3.133085386787471,0.0,0.0030303030303030303,0.0,0.0,220.64065789473682,0.1327105263157899,4.0,2.6842105263157894,1.0
2pqw_A_rec,47,47,0.6121440838247568,0.1718552895258192,2.210686227005292,0.8893556097189556,0.046666829282614286,0.4762042256168233,0.0,0.014331210191082803,0.0,0.0,186.88270212765957,1.4911297872340425,2.404255319148936,1.5319148936170213,4.76595744680851
2rhy_A_rec,47,47,0.5870918895257068,0.11360873494306706,2.6712435329839446,0.8989474559338715,0.05953352608166518,0.5369173565182157,0.0,0.008928571428571428,0.0,0.0,165.49436170212766,1.044513829787234,2.276595744680851,1.148936170212766,3.1702127659574466
2rma_A_rec,47,47,0.47304199931272667,0.16696712188274693,3.2080102118210467,0.8436003590233596,0.06957170651287957,0.5782238400038298,0.0,0.03791887125220458,0.0,0.0,340.4969148936171,1.1856212765957452,4.595744680851064,3.6382978723404253,7.1063829787234045
2v3r_A_rec,47,47,0.45220274232481394,0.17668380753309193,4.002574221790356,0.8915334846005174,0.05066800512044534,0.5097421013669302,0.0,0.014749262536873156,0.0,0.0,292.994,-0.3552048936170199,5.787234042553192,4.148936170212766,3.74468085106383
2z3h_A_rec,41,41,0.6727757429600852,0.16358699105217178,3.5178407602780464,0.8951719698963251,100.71578122626812,6.014008377930368,0.0,0.02672147995889003,0.0,0.0,309.660243902439,1.6720426829268302,4.487804878048781,2.048780487804878,3.682926829268293
2zen_A_rec,47,47,0.5120242514485621,0.11431630840253859,3.577984944151026,0.8409929381616821,0.0605232742282846,0.5416946241846029,0.0,0.006956521739130435,0.0,0.0,179.4654893617021,-0.420394468085106,3.5319148936170213,2.9574468085106385,2.4680851063829787
3af2_A_rec,33,33,0.3119800383002131,0.11273228084156756,4.719508384170611,0.7543486499273969,0.03508410851827425,0.418619917744738,0.0,0.1437908496732026,0.030303030303030304,0.0,433.3560303030305,-0.5399545454545458,10.0,5.575757575757576,6.181818181818182
3b6h_A_rec,47,47,0.6876077834089098,0.12706939379192467,3.519969434037513,0.8988516594149356,69.4816251394872,4.909704491361829,0.0,0.0020768431983385254,0.0,0.0,257.6438510638298,1.876062978723405,3.276595744680851,1.5106382978723405,2.2127659574468086
3chc_B_rec,41,41,0.5657701391943788,0.15804602972870832,4.208076408238576,0.9017699319888145,305.7696771085181,16.62822161513375,0.0,0.012413793103448275,0.0,0.0,225.10160975609764,0.6950463414634156,3.5365853658536586,2.4634146341463414,1.7073170731707317
3daf_A_rec,31,31,0.2012087562113303,0.1132097858914986,5.068950857462325,0.7814309451807979,32.84235859913048,5.601333016592218,0.0,0.027530364372469637,0.06451612903225806,0.0,526.6536774193551,-1.4272512903225776,12.129032258064516,6.0,8.838709677419354
